sample_number,museum_number,museum_sub_number,artefact_type,material_main,material_secondary,weight,height,diameter_base,diameter_top,diameter_hole_base,diameter_hole_top,form_base,form_top,form_profile,hole_profile,decoration_type,decoration_trusted,ribs_number,ribs_trusted,period,year_minimum,year_maximum,find_location,municipal,county,208pb_204pb,1se_208_204,207pb_204pb,1se_207_204,206Pb_204Pb,1se_206_204,208pb_206pb,1se_208_206,207pb_206pb,1se_207_206,model_age_dummy,model_u_dummy,model_K_dummy
128,c32444,d,spindle_whorl,lead,NA,26.6,12,22,9,7,6,flat,flat,conical,inclined,n,TRUE,0,TRUE,ma,-,-,kongsgaarden,oslo,oslo,38.356,0.0013,15.6154,0.0005,18.3973,0.0005,2.08488,0.00003,0.84879,0,242,9.78,3.83
132,c33448,g_06123,spindle_whorl,lead,NA,19.3,11,21,11,8,7,flat,flat,conical,inclined,n,TRUE,0,TRUE,ma,-,-,mindets_tomt,oslo,oslo,38.4458,0.0019,15.6364,0.0007,18.4965,0.0008,2.07861,0.00003,0.84537,0,-,-,-
133,c34019,g_10117,spindle_whorl,lead,NA,23.8,16,23,11,7,6,flat,flat,concave,inclined,r1,TRUE,16,TRUE,ma,-,-,nordre_felt,oslo,oslo,38.4671,0.0017,15.5928,0.0006,18.5291,0.0007,2.07597,0.00003,0.84151,0,44,9.59,3.78
147,c35850,g_36458,spindle_whorl,lead,NA,23.1,13,18,14,6,6,flat,flat,conical,straight,c,TRUE,0,TRUE,ma,1250,1300,nordre_felt_II,oslo,oslo,38.4408,0.0014,15.6364,0.0005,18.4672,0.0005,2.08159,0.00003,0.84671,0,185.4,9.8,3.82
148,c35850,g_37522,spindle_whorl,lead,NA,18,13,18,12,7,7,flat,flat,conical,straight,r4,TRUE,8,TRUE,ma,1300,1450,nordre_felt_II,oslo,oslo,38.4154,0.0012,15.6323,0.0004,18.487,0.0004,2.07794,0.00004,0.84558,0,-,-,-
163,c36828,g_63080,spindle_whorl,lead,NA,10,8,19,10,9,7,conical,flat,bi_conical,inclined,s,TRUE,0,TRUE,ma,1250,1625,oslogate_6,oslo,oslo,38.4516,0.0015,15.6402,0.0005,18.4781,0.0005,2.08095,0.00004,0.84642,0,-,-,-
165,c36828,g_65554,spindle_whorl,lead,NA,8.7,9,17,9,7,6,conical,flat,bi_conical,inclined,s,TRUE,0,TRUE,ma,1200,1300,oslogate_6,oslo,oslo,38.4351,0.0021,15.6393,0.0008,18.4671,0.0009,2.08132,0.00004,0.8469,0,186.2,9.8,3.82
168,c37175,g_72468,spindle_whorl,lead,NA,30.2,11,22,15,7,6,flat,rounded,torus_shaped,inclined,n,TRUE,0,TRUE,ma,1250,1300,oslogate_6,oslo,oslo,38.4395,0.0017,15.6431,0.0006,18.4517,0.0005,2.08323,0.00004,0.84779,0,-,-,-
188,c37175,g_74130,spindle_whorl,lead,NA,31.7,14,24,8,7,6,flat,flat,conical,inclined,n,TRUE,0,TRUE,ma,1250,1300,oslogate_6,oslo,oslo,38.4743,0.0016,15.597,0.0006,18.5319,0.0005,2.07612,0.00003,0.84162,0,41,9.6,3.78
189,c37175,g_74247,spindle_whorl,lead,NA,25.5,12,22,9,8,7,flat,rounded,hemispherical,inclined,n,TRUE,0,TRUE,ma,1150,1250,oslogate_6,oslo,oslo,38.4439,0.0019,15.6328,0.0008,18.4671,0.0009,2.08181,0.00003,0.84653,0,187,9.8,3.82
